"Qty";"Value";"Device";"Package";"Parts";"Description";"APPLICATION";"AVAILABILITY";"CHIP-TECHNOLOGY";"DATASHEET-URL";"DESCRIPTION";"DOMINANT-WAVELENGTH";"EMITTING-COLOR";"FORWARD-VOLTAGE";"GENDER";"GERDER";"H";"HEIGHT";"INTERFACE-TYPE";"IR";"IR1";"LUMINOUS-INTENSITY";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"OPERATION-FORCE";"PACKAGE";"PACKAGING";"PART-NUMBER";"PEAK-WAVELENGTH";"PINS";"PITCH";"POPULARITY";"PRICE";"PROD_ID";"QTY";"ROWS";"SPICEPREFIX";"TYPE";"VALUE";"WORKING-VOLTAGE";
"3";"";"434153017835";"434153017835";"FLASH, RESET, USR-RST";"WS-TASV J-Bend SMT Tact Switch 3.5x2.9 mm";"";"";"";"https://www.we-online.com/catalog/datasheet/434153017835.pdf";"";"";"";"";"";"";"1.7mm";"";"";"";"";"";"";"";"";"";"";"";"";"350g";"";"";"434153017835";"";"";"";"";"";"";" 4000 ";"";"";"";"";"";
"1";" 61300611821 ";"6130XX11821_61300611821";"61300611821";"J2";"WR-PHD 2.54 mm Socket Header";"";"";"";"https://www.we-online.com/catalog/datasheet/61300611821.pdf";"";"";"";"";"Socket Header";"";"";"";"";"3A";"";"";"";"";"";"THT";"";"";"";"";"";"Tray";" 61300611821 ";"";" 6 ";"2.54mm";"";"";"";"";"Single";"";"Straight";" 61300611821 ";"";
"2";"100n";"C-EUC0805";"C0805";"C1, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"2";"10k";"R-EU_R0805";"R0805";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"R";"";"";"";
"1";"150080GS75000";"WL-SMCW_0805_150080GS75000";"WL-SMCW_0805";"LED1";"WL-SMCW SMT Mono-color Chip LED Waterclea";"";"";"InGaN";"https://www.we-online.com/catalog/datasheet/150080GS75000.pdf";"";"525nm";"Green";"140°";"";"";"";"";"";"";"";"450mcd";"";"";"";"";"";"";"";"";"";"";"150080GS75000";"515nm";"";"";"";"";"";"";"";"";"";"150080GS75000";"";
"1";"150080RS75000";"WL-SMCW_0805_150080RS75000";"WL-SMCW_0805";"LED2";"WL-SMCW SMT Mono-color Chip LED Waterclea";"";"";"AlInGaP";"https://www.we-online.com/catalog/datasheet/150080RS75000.pdf";"";"625nm";"Red";"140°";"";"";"";"";"";"";"";"150mcd";"";"";"";"";"";"";"";"";"";"";"150080RS75000";"630nm";"";"";"";"";"";"";"";"";"";"150080RS75000";"";
"3";"1k";"R-EU_R0805";"R0805";"R1, R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"R";"";"";"";
"2";"1u";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"1";"20021121-00010C4LF";"20021121-00010C4LF";"2002112100010C4LF";"JTAG";"Headers & Wire Housings 1.27x1.27mm BTB, Hdr Unshrd, SMT, 10 Pos";"";"";"";"";"Headers & Wire Housings 1.27x1.27mm BTB, Hdr Unshrd, SMT, 10 Pos";"";"";"";"";"";"";"4.55mm";"";"";"";"";"Amphenol";"20021121-00010C4LF";"";"";"649-202112100010C4LF";"https://www.mouser.com/Search/Refine.aspx?Keyword=649-202112100010C4LF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22u";"CPOL-EUC";"PANASONIC_C";"C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";
"1";"629105150921";"629105150921";"629105150921";"J1";"WR-COM Micro USB 2.0 Type AB Horizontal";"Micro USB 2.0";"";"";"https://www.we-online.com/catalog/datasheet/629105150921.pdf";"";"";"";"";"";"Receptacle";"";"";"Type AB";"";"1.8A";"";"";"";"";"SMT";"";"";"";"";"";"Tape and Reel";"629105150921";"";" 5 ";"";"";"";"";"";"";"";"Horizontal";"629105150921";"30V(AC)";
"1";"AP2112K";"V_REG_AP2112K-3.3V";"SOT23-5";"U2";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-12457";"";"";"";"";"3.3V";"";
"1";"CC2652P2-DUOWEISI";"CC2652P2-DUOWEISI";"CC2652P2-DUOWEISI";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP-01";"ESP-01";"ESP-01";"U$3";"ESP-01  Check availability";"";"Not in stock";"";"";" ESP-01M ESP8266 DIP Adapter series Transceiver";" 802.11 b/g/n (Wi-Fi, WiFi, WLAN) Evaluation Board ";"";"";"";"";"";"";"";"";"";"";"";"";"";"AI-Thinker";"";"";"";"ESP-01";"";"Non-Standard AI-Thinker";"";"";"";"";"";"";"None";"";"";"";"";"";"";
"1";"USR-K6";"USR-K6";"USR-K6";"U3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
